Name,Address,Phone,Website,Emails,POS Systems,Reservation Platforms
The Saint,"2633 Gaston Ave, Dallas, TX 75226",(214) 258-6152,http://thesaintdallas.com/,"carlon@hooperhc.com, caleb@hooperhc.com",Toast,"OpenTable, Resy"
Kuluntu Bakery,"1201 Haines Ave, Dallas, TX 75208",(469) 933-4960,https://kuluntubakery.org/product-category/holiday/,,,
Restaurant Beatrice,"1111 N Beckley Ave, Dallas, TX 75203",(469) 962-2173,http://restaurantbeatrice.com/,eat@restaurantbeatrice.com,Toast,OpenTable
Heim Barbecue on Mockingbird,"3130 W Mockingbird Ln, Dallas, TX 75235",(469) 397-4346,https://heimbbq.com,"catering@heimbbq.com, info@heimbbq.com",,
Lubellas patisserie,"10323 Ferguson Rd, Dallas, TX 75228",(214) 484-4825,http://www.lubellaspatisserie.com/,-803-5991info@lubellaspatisserie.comPowered,,
Knox Bistro,"3230 Knox St #140, Dallas, TX 75205",(469) 250-4007,https://knoxbistro.com/,,Toast,"OpenTable, Resy"
The Porch,"2912 N Henderson Ave (at Willis Ave.), Dallas, TX 75206",(214) 828-2916,http://www.theporchrestaurant.com/,"TEXAS214.828.2916info@theporchrestaurant.com, info@theporchrestaurant.com",,Resy
Joe Leo Fine Tex Mex,"2722 N Fitzhugh Ave, Dallas, TX 75204",(214) 363-2699,https://joeleotexmex.com/,,,"OpenTable, Resy"
Taquero,"5434 Ross Ave, Dallas, TX 75206",(469) 372-6049,http://www.taquerodallas.com/,"-372-6049info@taquerodallas.comPowered, info@taquerodallas.com",,
Bread Winners,"3301 McKinney Ave (at Hall St), Dallas, TX 75204",(214) 556-1334,http://www.breadwinnerscafe.com/,"breadwinnerscafeandbakery@plugpublicrelations.com, info@breadwinnerscafe.com",,Yelp Reservations
Wriggly Tin,"1906 South Haskell Avenue, Dallas, Texas 75223",(469) 837-0491,http://wrigglytinbar.com/,,,
Mirador,"1608 Elm Street, Dallas, Texas 75201",(214) 945-8200,https://www.mirador-dallas.com/,,,Resy
Jonathon's Diner,"1619 N Beckley Ave, Dallas, TX 75203",(214) 782-9273,http://jonathonsoakcliff.com/,christine@jonathonsoakcliff.com,,
The Mayor's House,"635 North Zang Boulevard, Dallas, Texas 75208",(214) 940-9137,https://themayorshousebyselda.com/,,,OpenTable
Written by the Seasons,"380 Melba St, Dallas, TX 75208",(469) 580-1185,http://www.writtenbytheseasons.com/,,Square,Resy
Trova Wine + Market,"4004 Villanova St, Dallas, TX 75225",(469) 930-0069,http://www.trovawine.com/,INFO@TROVAWINE.COM,Toast,OpenTable
Goodfriend Package,"1155 Peavy Rd, Dallas, TX 75218",(972) 807-2899,https://www.facebook.com/goodfriendpackage/,,,
Sadelle's Highland Park,"1 Highland Park Village, Dallas, TX 75205",(469) 290-6009,https://www.sadelles.com/,"coconutgrove@sadelles.com.For, highlandpark@sadelles.com, coconutgrove@sadelles.com, events@majorfood.com, reservations@sadelles.com.Email, reservations@sadelles.com",,Resy
Cafe Duro,"2804 Greenville Ave, Dallas, TX 75206",(214) 888-8485,http://www.cafe-duro.com/,,,Resy
Barcelona Wine Bar,"5016 Miller Ave, Dallas, TX 75206",(469) 862-8500,http://barcelonawinebar.com/,,,
Coupes,"4234 Oak Lawn Ave, Dallas, TX 75219",(214) 434-1347,https://www.coupesdallas.com/,Visitinfo@coupesdallas.com,,Tock
Malibu Poke,"3888 Oak Lawn Ave #102, Dallas, TX 75219",(469) 250-7074,https://www.malibupoke.com/,,,Resy
Sa Sa Sushi,"6340 Gaston Ave, Dallas, TX 75214",(214) 484-7420,http://sasasushidallas.com/,,,
Petra and the Beast,"1901 Abrams Rd, Dallas, TX 75214",(214) 484-2326,http://www.petraandthebeast.com/,484-2326info@petraandthebeast.com,Toast,"Tock, Resy"
Ascension Coffee - Design District,"1621 Oak Lawn Ave, Dallas, TX 75207",(214) 741-3211,http://ascensiondallas.com/,,Toast,
Lucia,"287 N Bishop Ave, Dallas, TX 75208",(214) 948-4998,https://www.luciadallas.com/,,Square,Resy
